NTAName,NTACode,DisplacementRiskIndex,PopulationVulnerability,HousingConditions,MarketPressure,NotWhite,Below2xPovertyRate,Below2xPovertyRate_MOE,LimitedEnglishProficiency,LimitedEnglishProficiency_MOE,SevereRentBurdenVsCity,SevereRentBurden,SevereRentBurden_MOE,RentalHousing,RentalHousing_MOE,NotIncomeRestricted,NotRentStabilizedVsCity,NotRentStabilized,NotRentStabilized_MOE,3PlusMaintenanceDeficienciesVsCity,3PlusMaintenanceDeficiencies,3PlusMaintenanceDeficiencies_MOE,ChangeInRentsVsCity,ChangeInRents,ChangeInRents_MOE,SalesPriceAppreciation,ChangeInPopulationWithBachelorsDegreesVsCity,ChangeInPopulationWithBachelorsDegrees,ChangeInPopulationWithBachelorsDegrees_MOE,Adjacency
New Springville-Bloomfield-Travis,SI05,Lowest,Lower,Intermediate,Lowest,41.9,20.4,2,10,1,No statistical difference from the City in the proportion of severely rent burdened households,32.2,6.5,24.6,2.7,96.6,Smaller proportion of households in rent-stabilized units than City,2.8,4.5,Smaller proportion of units with 3+ maintenance deficiencies than the City,1,1.1,Smaller rent change than City,-30,174,2.470837359,No statistical difference from the City in the percent change of population with a bachelor's degree,4.4,11.6,Not adjacent to neighborhoods with high Market Pressure scores
North Corona,QN26,Higher,Higher,Intermediate,Lowest,98.7,51.2,1.8,55,2,No statistical difference from the City in the proportion of severely rent burdened households,30.8,3.4,77.5,2.4,100,No statistical difference from the City in the proportion of rent-stabilized households,50,10.8,Smaller proportion of units with 3+ maintenance deficiencies than the City,7.1,3.3,No statistical difference in rent change from City,235,104,3.104704667,No statistical difference from the City in the percent change of population with a bachelor's degree,9.8,22.5,Not adjacent to neighborhoods with high Market Pressure scores
North Riverdale-Fieldston-Riverdale,BX22,Lowest,Lowest,Intermediate,Lowest,44.3,16.1,1.8,10,2,Smaller proportion of severely rent burdened households than City,22.4,3.6,49.8,2.8,99.3,Larger proportion of households in rent-stabilized units than City,78.6,6.8,Larger proportion of units with 3+ maintenance deficiencies than the City,20.5,6.9,No statistical difference in rent change from City,238,125,2.48746388,Smaller percent change of population with a bachelor's degree than the City,-8,8.8,Not adjacent to neighborhoods with high Market Pressure scores
North Side-South Side,BK73,Lower,Lower,Intermediate,Highest,43,30.2,1.9,15,1,Smaller proportion of severely rent burdened households than City,21.6,2.4,83.5,1.4,93.7,No statistical difference from the City in the proportion of rent-stabilized households,41.5,8.4,No statistical difference from the City in the proportion of units with 3+ maintenance deficiencies,9.2,3.7,Larger rent change than City,"1,100",174,3.494413696,Larger percent change of population with a bachelor's degree than the City,110,17.4,Not adjacent to neighborhoods with high Market Pressure scores
Norwood,BX43,Highest,Highest,Highest,Intermediate,92.9,56.6,2.9,32,3,Larger proportion of severely rent burdened households than City,38.8,3.7,95.2,1.4,96.9,Larger proportion of households in rent-stabilized units than City,88.2,6,Larger proportion of units with 3+ maintenance deficiencies than the City,29,5.9,No statistical difference in rent change from City,135,50,3.068836533,Larger percent change of population with a bachelor's degree than the City,49.7,25.3,Not adjacent to neighborhoods with high Market Pressure scores
Oakland Gardens,QN42,Lower,Lower,Intermediate,Lowest,68.7,20.6,2.2,27,3,No statistical difference from the City in the proportion of severely rent burdened households,26,5.8,29.4,3,100,Smaller proportion of households in rent-stabilized units than City,24.1,16.9,Smaller proportion of units with 3+ maintenance deficiencies than the City,1.7,1.9,No statistical difference in rent change from City,231,180,2.613075972,Smaller percent change of population with a bachelor's degree than the City,-10.2,9.8,Not adjacent to neighborhoods with high Market Pressure scores
Oakwood-Oakwood Beach,SI25,Intermediate,Intermediate,Intermediate,Lowest,27.1,24.1,3,9,2,Larger proportion of severely rent burdened households than City,38.5,9.9,29.5,3.4,100,Smaller proportion of households in rent-stabilized units than City,13.7,9.5,Smaller proportion of units with 3+ maintenance deficiencies than the City,2,1.6,Smaller rent change than City,16,142,2.250587947,Smaller percent change of population with a bachelor's degree than the City,-7,15.3,Not adjacent to neighborhoods with high Market Pressure scores
Ocean Hill,BK79,Intermediate,Intermediate,Higher,Higher,93.2,47.8,2.5,6,1,No statistical difference from the City in the proportion of severely rent burdened households,30.3,3.2,81,2.2,75.4,No statistical difference from the City in the proportion of rent-stabilized households,40.8,9.2,Larger proportion of units with 3+ maintenance deficiencies than the City,30.2,7,No statistical difference in rent change from City,144,103,3.145629614,Larger percent change of population with a bachelor's degree than the City,102,36.5,Adjacent to neighborhoods with high Market Pressure scores
Ocean Parkway South,BK46,Intermediate,Intermediate,Lower,Lower,22.5,38,2.4,18,2,Larger proportion of severely rent burdened households than City,35.4,4.5,54.5,2.8,100,No statistical difference from the City in the proportion of rent-stabilized households,46.6,7.5,Smaller proportion of units with 3+ maintenance deficiencies than the City,7.4,3.4,No statistical difference in rent change from City,88,147,3.683396314,No statistical difference from the City in the percent change of population with a bachelor's degree,4.8,14.3,Adjacent to neighborhoods with high Market Pressure scores
Old Astoria,QN71,Intermediate,Intermediate,Intermediate,Lower,59.3,36.1,2.5,22,3,Smaller proportion of severely rent burdened households than City,22.4,2.8,84.6,2.1,90.9,No statistical difference from the City in the proportion of rent-stabilized households,45.4,7.5,No statistical difference from the City in the proportion of units with 3+ maintenance deficiencies,9.5,2.4,No statistical difference in rent change from City,280,112,3.733437849,No statistical difference from the City in the percent change of population with a bachelor's degree,32.8,14.9,Adjacent to neighborhoods with high Market Pressure scores
Old Town-Dongan Hills-South Beach,SI36,Lowest,Lower,Intermediate,Lowest,38.3,22,2.6,15,3,No statistical difference from the City in the proportion of severely rent burdened households,27.1,7.1,32.6,3.7,94.6,Smaller proportion of households in rent-stabilized units than City,2.8,4.5,Smaller proportion of units with 3+ maintenance deficiencies than the City,1,1.1,Smaller rent change than City,-16,161,2.470837359,No statistical difference from the City in the percent change of population with a bachelor's degree,19.3,19.1,Not adjacent to neighborhoods with high Market Pressure scores
Ozone Park,QN56,Intermediate,Intermediate,Intermediate,Intermediate,80.6,30.3,2.3,20,2,No statistical difference from the City in the proportion of severely rent burdened households,30.6,5.6,39.3,3.7,100,Smaller proportion of households in rent-stabilized units than City,1.6,2.6,Smaller proportion of units with 3+ maintenance deficiencies than the City,1,1.7,No statistical difference in rent change from City,213,140,2.701232846,Larger percent change of population with a bachelor's degree than the City,54.4,26.4,Not adjacent to neighborhoods with high Market Pressure scores
Park Slope-Gowanus,BK37,Lowest,Lowest,Intermediate,Higher,35,13,1,4,1,Smaller proportion of severely rent burdened households than City,16.3,1.9,58.5,1.6,98.7,Smaller proportion of households in rent-stabilized units than City,24.4,9,Smaller proportion of units with 3+ maintenance deficiencies than the City,5.5,2.9,Larger rent change than City,492,125,3.886527208,Smaller percent change of population with a bachelor's degree than the City,13.4,5.5,Adjacent to neighborhoods with high Market Pressure scores
Parkchester,BX46,Intermediate,Intermediate,Higher,Lowest,97.3,34.8,3,19,3,No statistical difference from the City in the proportion of severely rent burdened households,25.3,3.9,80.1,3,98.3,No statistical difference from the City in the proportion of rent-stabilized households,43.6,8.1,Larger proportion of units with 3+ maintenance deficiencies than the City,15.3,4.1,No statistical difference in rent change from City,154,49,3.137518792,No statistical difference from the City in the percent change of population with a bachelor's degree,16.1,19.8,Not adjacent to neighborhoods with high Market Pressure scores
Pelham Bay-Country Club-City Island,BX10,Lower,Lower,Lower,Lowest,55.2,25.3,2.6,12,2,No statistical difference from the City in the proportion of severely rent burdened households,30,4.9,58,3.3,96.9,No statistical difference from the City in the proportion of rent-stabilized households,29.4,16.6,Smaller proportion of units with 3+ maintenance deficiencies than the City,6.7,3.4,No statistical difference in rent change from City,152,86,2.304880919,No statistical difference from the City in the percent change of population with a bachelor's degree,21,20.7,Not adjacent to neighborhoods with high Market Pressure scores
Pelham Parkway,BX49,Intermediate,Intermediate,Higher,Lowest,70.7,30.8,2.5,23,3,No statistical difference from the City in the proportion of severely rent burdened households,25.8,3.9,75.1,2.5,100,No statistical difference from the City in the proportion of rent-stabilized households,47,10.7,Larger proportion of units with 3+ maintenance deficiencies than the City,19.5,5.2,No statistical difference in rent change from City,171,62,2.68441827,Smaller percent change of population with a bachelor's degree than the City,6.8,14,Not adjacent to neighborhoods with high Market Pressure scores
Pomonok-Flushing Heights-Hillcrest,QN38,Intermediate,Intermediate,Lower,Lowest,73.1,36.1,3.1,25,3,No statistical difference from the City in the proportion of severely rent burdened households,24.6,4.8,52.9,3.5,64.6,Smaller proportion of households in rent-stabilized units than City,34.5,9.1,Smaller proportion of units with 3+ maintenance deficiencies than the City,3.1,2.1,No statistical difference in rent change from City,148,112,2.772153072,Smaller percent change of population with a bachelor's degree than the City,-2.8,13.4,Not adjacent to neighborhoods with high Market Pressure scores
Port Richmond,SI28,Lower,Lower,Intermediate,Lowest,68.5,30.2,3.3,11,2,No statistical difference from the City in the proportion of severely rent burdened households,34.1,8.4,35.5,4.2,98.9,Smaller proportion of households in rent-stabilized units than City,25.7,12.5,Smaller proportion of units with 3+ maintenance deficiencies than the City,7.2,3.3,Smaller rent change than City,-46,163,2.529410412,No statistical difference from the City in the percent change of population with a bachelor's degree,60.5,32.1,Not adjacent to neighborhoods with high Market Pressure scores
Prospect Heights,BK64,Lowest,Lowest,Higher,Lower,46.1,18,2.4,4,1,Smaller proportion of severely rent burdened households than City,21.5,4.2,64.1,3.1,95.6,No statistical difference from the City in the proportion of rent-stabilized households,46.9,8.3,Larger proportion of units with 3+ maintenance deficiencies than the City,27.1,6.2,No statistical difference in rent change from City,379,200,3.969897347,Smaller percent change of population with a bachelor's degree than the City,15.2,10.7,Adjacent to neighborhoods with high Market Pressure scores
Prospect Lefferts Gardens-Wingate,BK60,Highest,Higher,Higher,Highest,79.6,38.2,1.8,9,1,Larger proportion of severely rent burdened households than City,31.2,2.4,82.3,1.5,95.3,Larger proportion of households in rent-stabilized units than City,77.2,7.3,Larger proportion of units with 3+ maintenance deficiencies than the City,20.3,6.1,Larger rent change than City,233,42,4.005171141,Larger percent change of population with a bachelor's degree than the City,76.3,17.6,Not adjacent to neighborhoods with high Market Pressure scores
Queens Village,QN34,Lower,Lower,Intermediate,Lowest,95.6,23.6,1.4,18,2,No statistical difference from the City in the proportion of severely rent burdened households,32.4,4.5,30,2,100,Smaller proportion of households in rent-stabilized units than City,10.5,8.7,Smaller proportion of units with 3+ maintenance deficiencies than the City,4.5,2.4,No statistical difference in rent change from City,89,115,2.820302116,Smaller percent change of population with a bachelor's degree than the City,-3.5,9.5,Not adjacent to neighborhoods with high Market Pressure scores
Queensboro Hill,QN62,Higher,Higher,Lower,Lowest,90.8,39.2,3,54,3,No statistical difference from the City in the proportion of severely rent burdened households,32.2,6.2,48.8,4.2,100,No statistical difference from the City in the proportion of rent-stabilized households,43.8,8.8,Smaller proportion of units with 3+ maintenance deficiencies than the City,3.8,1.8,Smaller rent change than City,-154,177,2.794468731,Smaller percent change of population with a bachelor's degree than the City,-20.4,12.1,Not adjacent to neighborhoods with high Market Pressure scores
Queensbridge-Ravenswood-Long Island City,QN68,Higher,Higher,Intermediate,Higher,80.5,56.3,3.5,28,2,Smaller proportion of severely rent burdened households than City,19.6,2.9,92.8,1.6,61.9,No statistical difference from the City in the proportion of rent-stabilized households,45.4,7.5,No statistical difference from the City in the proportion of units with 3+ maintenance deficiencies,9.5,2.4,No statistical difference in rent change from City,257,158,3.733437849,Larger percent change of population with a bachelor's degree than the City,94.2,36.1,Adjacent to neighborhoods with high Market Pressure scores
Rego Park,QN18,Intermediate,Intermediate,Lower,Lowest,64.2,26.5,2.3,30,2,No statistical difference from the City in the proportion of severely rent burdened households,32.6,4.3,54.1,2.6,99.6,Larger proportion of households in rent-stabilized units than City,68,9.3,Smaller proportion of units with 3+ maintenance deficiencies than the City,4.2,2.6,No statistical difference in rent change from City,172,96,2.733304013,Smaller percent change of population with a bachelor's degree than the City,-2.4,9.9,Not adjacent to neighborhoods with high Market Pressure scores
Richmond Hill,QN54,Intermediate,Intermediate,Intermediate,Lowest,91.2,34.1,1.2,25,2,No statistical difference from the City in the proportion of severely rent burdened households,29.4,2.7,52.2,2,100,Smaller proportion of households in rent-stabilized units than City,33.4,10.9,Smaller proportion of units with 3+ maintenance deficiencies than the City,3.2,2.3,No statistical difference in rent change from City,134,84,2.886296822,No statistical difference from the City in the percent change of population with a bachelor's degree,20.8,11.5,Not adjacent to neighborhoods with high Market Pressure scores
Ridgewood,QN20,Intermediate,Intermediate,Intermediate,Highest,59.7,32.1,1.5,26,2,Smaller proportion of severely rent burdened households than City,22.2,1.9,76.9,1.6,99.7,No statistical difference from the City in the proportion of rent-stabilized households,39.4,9.7,Smaller proportion of units with 3+ maintenance deficiencies than the City,2.4,1.4,Larger rent change than City,242,57,3.106894805,Larger percent change of population with a bachelor's degree than the City,84.2,17.2,Not adjacent to neighborhoods with high Market Pressure scores
Rosedale,QN05,Lowest,Lower,Intermediate,Lowest,96.6,19.3,2.1,7,2,No statistical difference from the City in the proportion of severely rent burdened households,30.6,7.4,36.9,4.1,100,Smaller proportion of households in rent-stabilized units than City,10.5,8.7,Smaller proportion of units with 3+ maintenance deficiencies than the City,4.5,2.4,Smaller rent change than City,-60,166,2.820302116,Smaller percent change of population with a bachelor's degree than the City,-2.3,15.1,Not adjacent to neighborhoods with high Market Pressure scores
Rossville-Woodrow,SI32,Lowest,Lowest,Intermediate,Lowest,18.5,17.5,2.8,6,2,No statistical difference from the City in the proportion of severely rent burdened households,30.1,13.2,11.9,3.5,100,Smaller proportion of households in rent-stabilized units than City,13.7,9.5,Smaller proportion of units with 3+ maintenance deficiencies than the City,2,1.6,No statistical difference in rent change from City,-117,386,2.250587947,No statistical difference from the City in the percent change of population with a bachelor's degree,27.4,20.3,Not adjacent to neighborhoods with high Market Pressure scores
Rugby-Remsen Village,BK96,Higher,Higher,Higher,Lower,98.2,34.4,1.7,6,1,Larger proportion of severely rent burdened households than City,32.1,2.8,67,2,96.9,No statistical difference from the City in the proportion of rent-stabilized households,51.8,9.9,Larger proportion of units with 3+ maintenance deficiencies than the City,15.7,4.2,Smaller rent change than City,53,56,3.205702925,No statistical difference from the City in the percent change of population with a bachelor's degree,48.6,18.8,Adjacent to neighborhoods with high Market Pressure scores
Schuylerville-Throgs Neck-Edgewater Park,BX52,Lower,Lower,Lower,Lowest,66.5,27.1,1.8,13,2,No statistical difference from the City in the proportion of severely rent burdened households,26.5,3.9,47.7,2.6,90.8,No statistical difference from the City in the proportion of rent-stabilized households,29.4,16.6,Smaller proportion of units with 3+ maintenance deficiencies than the City,6.7,3.4,No statistical difference in rent change from City,120,119,2.304880919,Smaller percent change of population with a bachelor's degree than the City,20.7,15.8,Not adjacent to neighborhoods with high Market Pressure scores
Seagate-Coney Island,BK21,Higher,Higher,Lower,Lowest,71.5,62.9,2.6,33,2,Smaller proportion of severely rent burdened households than City,24.3,3.4,84.7,2,48.4,No statistical difference from the City in the proportion of rent-stabilized households,47.1,11.8,Smaller proportion of units with 3+ maintenance deficiencies than the City,5.9,3.1,No statistical difference in rent change from City,61,162,2.881348945,No statistical difference from the City in the percent change of population with a bachelor's degree,25.5,22.6,Not adjacent to neighborhoods with high Market Pressure scores
Sheepshead Bay-Gerritsen Beach-Manhattan Beach,BK17,Intermediate,Intermediate,Lower,Lower,40.2,29.9,1.6,36,2,No statistical difference from the City in the proportion of severely rent burdened households,27.1,3,48,1.8,89.1,No statistical difference from the City in the proportion of rent-stabilized households,48,6.5,Smaller proportion of units with 3+ maintenance deficiencies than the City,4.5,2.4,No statistical difference in rent change from City,168,81,2.73232833,No statistical difference from the City in the percent change of population with a bachelor's degree,6.3,8.3,Adjacent to neighborhoods with high Market Pressure scores
SoHo-TriBeCa-Civic Center-Little Italy,MN24,Lowest,Lowest,Higher,Lower,36.6,14.7,1.6,10,2,Smaller proportion of severely rent burdened households than City,17.4,2.5,71.5,2,99.5,Smaller proportion of households in rent-stabilized units than City,33,6,Smaller proportion of units with 3+ maintenance deficiencies than the City,7.9,3,No statistical difference in rent change from City,349,255,2.222504266,No statistical difference from the City in the percent change of population with a bachelor's degree,16.6,9.3,Adjacent to neighborhoods with high Market Pressure scores
Soundview-Bruckner,BX55,Highest,Highest,Higher,Lowest,97.5,59.1,2.6,29,2,Larger proportion of severely rent burdened households than City,37.8,3.6,86,1.8,77.8,No statistical difference from the City in the proportion of rent-stabilized households,43.6,8.1,Larger proportion of units with 3+ maintenance deficiencies than the City,15.3,4.1,Smaller rent change than City,97,72,3.137518792,No statistical difference from the City in the percent change of population with a bachelor's degree,43.4,28.9,Not adjacent to neighborhoods with high Market Pressure scores
Soundview-Castle Hill-Clason Point-Harding Park,BX09,Intermediate,Intermediate,Intermediate,Lowest,98.1,48,2.5,14,2,No statistical difference from the City in the proportion of severely rent burdened households,25.2,3.2,72.1,2,59.4,No statistical difference from the City in the proportion of rent-stabilized households,43.6,8.1,Larger proportion of units with 3+ maintenance deficiencies than the City,15.3,4.1,Smaller rent change than City,77,72,3.137518792,No statistical difference from the City in the percent change of population with a bachelor's degree,10.9,18,Not adjacent to neighborhoods with high Market Pressure scores
South Jamaica,QN01,Intermediate,Intermediate,Intermediate,Lowest,98.9,36.7,2,14,3,No statistical difference from the City in the proportion of severely rent burdened households,29.9,4.4,52.5,2.7,91.9,Smaller proportion of households in rent-stabilized units than City,28.5,9.3,No statistical difference from the City in the proportion of units with 3+ maintenance deficiencies,10.2,3.5,No statistical difference in rent change from City,245,198,2.726457289,No statistical difference from the City in the percent change of population with a bachelor's degree,40.2,22.7,Not adjacent to neighborhoods with high Market Pressure scores
South Ozone Park,QN55,Intermediate,Lower,Intermediate,Intermediate,94.9,27.9,1.2,12,1,No statistical difference from the City in the proportion of severely rent burdened households,31.3,3.6,32.4,2,100,Smaller proportion of households in rent-stabilized units than City,1.6,2.6,Smaller proportion of units with 3+ maintenance deficiencies than the City,1,1.7,No statistical difference in rent change from City,191,94,2.701232846,Larger percent change of population with a bachelor's degree than the City,40.7,14.8,Not adjacent to neighborhoods with high Market Pressure scores
Springfield Gardens North,QN02,Lower,Lower,Lower,Lowest,98.9,24.5,2.8,5,2,Smaller proportion of severely rent burdened households than City,22.2,4.9,67.9,3.8,46.2,Smaller proportion of households in rent-stabilized units than City,28.5,9.3,No statistical difference from the City in the proportion of units with 3+ maintenance deficiencies,10.2,3.5,Smaller rent change than City,49,57,2.726457289,No statistical difference from the City in the percent change of population with a bachelor's degree,21.1,25.5,Not adjacent to neighborhoods with high Market Pressure scores
Springfield Gardens South-Brookville,QN03,Lower,Lower,Intermediate,Lowest,98.1,23.4,2.5,5,1,No statistical difference from the City in the proportion of severely rent burdened households,23.5,6.3,38.7,4.3,99.9,Smaller proportion of households in rent-stabilized units than City,10.5,8.7,Smaller proportion of units with 3+ maintenance deficiencies than the City,4.5,2.4,Smaller rent change than City,-116,172,2.820302116,No statistical difference from the City in the percent change of population with a bachelor's degree,11.4,19.1,Not adjacent to neighborhoods with high Market Pressure scores
Spuyten Duyvil-Kingsbridge,BX29,Lower,Lower,Higher,Lowest,59.9,25.6,2.5,16,2,Smaller proportion of severely rent burdened households than City,21.5,3.6,60.2,2.4,95.1,Larger proportion of households in rent-stabilized units than City,78.6,6.8,Larger proportion of units with 3+ maintenance deficiencies than the City,20.5,6.9,No statistical difference in rent change from City,152,108,2.48746388,Smaller percent change of population with a bachelor's degree than the City,-2,9.5,Not adjacent to neighborhoods with high Market Pressure scores
St. Albans,QN08,Lower,Lower,Intermediate,Lowest,98.9,20.2,1.2,4,1,No statistical difference from the City in the proportion of severely rent burdened households,31.7,4.5,26.8,1.9,98.2,Smaller proportion of households in rent-stabilized units than City,28.5,9.3,No statistical difference from the City in the proportion of units with 3+ maintenance deficiencies,10.2,3.5,No statistical difference in rent change from City,111,130,2.726457289,No statistical difference from the City in the percent change of population with a bachelor's degree,17.5,12.7,Not adjacent to neighborhoods with high Market Pressure scores
Stapleton-Rosebank,SI37,Lower,Lower,Intermediate,Lowest,70.6,36.1,2.5,18,2,No statistical difference from the City in the proportion of severely rent burdened households,32.9,4.6,55.3,3.3,89.6,Smaller proportion of households in rent-stabilized units than City,25.7,12.5,Smaller proportion of units with 3+ maintenance deficiencies than the City,7.2,3.3,No statistical difference in rent change from City,44,178,2.529410412,No statistical difference from the City in the percent change of population with a bachelor's degree,18.1,16.9,Not adjacent to neighborhoods with high Market Pressure scores
Starrett City,BK93,Intermediate,Intermediate,Higher,Lowest,81.2,49.8,5.7,22,3,Smaller proportion of severely rent burdened households than City,18.7,4.3,98.3,1.3,9.4,Smaller proportion of households in rent-stabilized units than City,11.5,6.1,Larger proportion of units with 3+ maintenance deficiencies than the City,17.8,5.1,Smaller rent change than City,-258,335,3.323109456,No statistical difference from the City in the percent change of population with a bachelor's degree,13.6,41.7,Not adjacent to neighborhoods with high Market Pressure scores
Steinway,QN72,Lower,Lower,Intermediate,Higher,37.2,22.4,1.5,19,1,Smaller proportion of severely rent burdened households than City,22.3,2.4,68.7,1.9,97.6,No statistical difference from the City in the proportion of rent-stabilized households,45.4,7.5,No statistical difference from the City in the proportion of units with 3+ maintenance deficiencies,9.5,2.4,Larger rent change than City,325,80,3.733437849,No statistical difference from the City in the percent change of population with a bachelor's degree,27.6,9.6,Adjacent to neighborhoods with high Market Pressure scores
Stuyvesant Heights,BK35,Intermediate,Lower,Higher,Higher,82.2,40.4,1.6,7,1,No statistical difference from the City in the proportion of severely rent burdened households,26.7,2.3,74.8,1.6,85.5,No statistical difference from the City in the proportion of rent-stabilized households,38,9.6,Larger proportion of units with 3+ maintenance deficiencies than the City,23,5.6,No statistical difference in rent change from City,270,93,4.637981747,Larger percent change of population with a bachelor's degree than the City,110.5,20.6,Adjacent to neighborhoods with high Market Pressure scores
Stuyvesant Town-Cooper Village,MN50,Lowest,Lowest,Intermediate,Intermediate,34.4,13,3.4,4,3,Smaller proportion of severely rent burdened households than City,17,4.4,100,0,55.7,No statistical difference from the City in the proportion of rent-stabilized households,42.9,6.5,Smaller proportion of units with 3+ maintenance deficiencies than the City,3.2,1.8,Larger rent change than City,723,292,2.144265157,No statistical difference from the City in the percent change of population with a bachelor's degree,9.9,16.6,Not adjacent to neighborhoods with high Market Pressure scores
Sunset Park East,BK34,Highest,Highest,Intermediate,Lowest,89,58.4,1.7,58,2,Larger proportion of severely rent burdened households than City,32,2.6,75.1,1.8,98.9,No statistical difference from the City in the proportion of rent-stabilized households,40.9,8.7,Smaller proportion of units with 3+ maintenance deficiencies than the City,5.5,4.2,No statistical difference in rent change from City,180,68,4.71435859,Smaller percent change of population with a bachelor's degree than the City,6.2,12.4,Not adjacent to neighborhoods with high Market Pressure scores
Sunset Park West,BK32,Highest,Highest,Intermediate,Intermediate,80.8,50,2,43,2,Larger proportion of severely rent burdened households than City,32.8,2.9,75.8,2.1,97.4,No statistical difference from the City in the proportion of rent-stabilized households,40.9,8.7,Smaller proportion of units with 3+ maintenance deficiencies than the City,5.5,4.2,No statistical difference in rent change from City,236,89,4.71435859,Larger percent change of population with a bachelor's degree than the City,42,14.3,Not adjacent to neighborhoods with high Market Pressure scores
Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,SI24,Lowest,Lower,Intermediate,Lowest,35.5,20.8,2.2,11,2,No statistical difference from the City in the proportion of severely rent burdened households,30.7,7.9,23.3,3,98.7,Smaller proportion of households in rent-stabilized units than City,2.8,4.5,Smaller proportion of units with 3+ maintenance deficiencies than the City,1,1.1,No statistical difference in rent change from City,184,181,2.470837359,No statistical difference from the City in the percent change of population with a bachelor's degree,10.8,12.7,Not adjacent to neighborhoods with high Market Pressure scores
Turtle Bay-East Midtown,MN19,Lowest,Lowest,Lower,Lowest,32.8,9.4,1.4,6,1,Smaller proportion of severely rent burdened households than City,20.8,3.2,54.7,2.4,99.1,No statistical difference from the City in the proportion of rent-stabilized households,42.9,6.5,Smaller proportion of units with 3+ maintenance deficiencies than the City,3.2,1.8,No statistical difference in rent change from City,265,114,2.144265157,Smaller percent change of population with a bachelor's degree than the City,0.9,7.6,Not adjacent to neighborhoods with high Market Pressure scores
University Heights-Morris Heights,BX36,Highest,Highest,Higher,Lowest,98.5,63.5,2.1,32,2,Larger proportion of severely rent burdened households than City,37.1,2.5,95.4,0.9,83.4,Larger proportion of households in rent-stabilized units than City,77,7.4,Larger proportion of units with 3+ maintenance deficiencies than the City,34,7,Smaller rent change than City,94,57,3.527071611,No statistical difference from the City in the percent change of population with a bachelor's degree,31.1,22.6,Not adjacent to neighborhoods with high Market Pressure scores
Upper East Side-Carnegie Hill,MN40,Lowest,Lowest,Intermediate,Lowest,17.4,7.7,0.9,3,1,Smaller proportion of severely rent burdened households than City,19.1,2.7,37.2,1.8,100,Smaller proportion of households in rent-stabilized units than City,33.3,5.8,Smaller proportion of units with 3+ maintenance deficiencies than the City,5.7,1.8,No statistical difference in rent change from City,142,149,1.978976714,Smaller percent change of population with a bachelor's degree than the City,-16,5,Not adjacent to neighborhoods with high Market Pressure scores
Upper West Side,MN12,Lowest,Lowest,Intermediate,Lower,36.3,19,1.4,8,1,Smaller proportion of severely rent burdened households than City,21.1,2,64.8,1.6,90.3,Smaller proportion of households in rent-stabilized units than City,36.4,6.4,No statistical difference from the City in the proportion of units with 3+ maintenance deficiencies,9.4,2.8,Larger rent change than City,350,118,1.92961762,Smaller percent change of population with a bachelor's degree than the City,-8,4.4,Not adjacent to neighborhoods with high Market Pressure scores
Van Cortlandt Village,BX28,Highest,Highest,Higher,Lowest,91.1,51.2,2.4,32,2,Larger proportion of severely rent burdened households than City,37,3.1,85,1.8,92.8,Larger proportion of households in rent-stabilized units than City,78.6,6.8,Larger proportion of units with 3+ maintenance deficiencies than the City,20.5,6.9,No statistical difference in rent change from City,169,50,2.48746388,No statistical difference from the City in the percent change of population with a bachelor's degree,1.3,14.1,Not adjacent to neighborhoods with high Market Pressure scores
Van Nest-Morris Park-Westchester Square,BX37,Higher,Higher,Higher,Lowest,77.1,43.2,2.5,24,2,Larger proportion of severely rent burdened households than City,42.7,4.1,67.2,2.5,99.8,No statistical difference from the City in the proportion of rent-stabilized households,47,10.7,Larger proportion of units with 3+ maintenance deficiencies than the City,19.5,5.2,No statistical difference in rent change from City,145,93,2.68441827,No statistical difference from the City in the percent change of population with a bachelor's degree,8.2,16,Not adjacent to neighborhoods with high Market Pressure scores
Washington Heights North,MN35,Higher,Higher,Highest,Intermediate,72.1,39.9,2,33,2,No statistical difference from the City in the proportion of severely rent burdened households,29.4,2.4,87.5,1.1,98.7,Larger proportion of households in rent-stabilized units than City,77,5.3,Larger proportion of units with 3+ maintenance deficiencies than the City,15.1,3.6,Larger rent change than City,263,59,2.995214115,No statistical difference from the City in the percent change of population with a bachelor's degree,26.9,10.7,Not adjacent to neighborhoods with high Market Pressure scores
Washington Heights South,MN36,Higher,Higher,Higher,Higher,83.5,41.9,1.8,37,2,No statistical difference from the City in the proportion of severely rent burdened households,26.5,2.1,91.5,1.1,91.7,Larger proportion of households in rent-stabilized units than City,77,5.3,Larger proportion of units with 3+ maintenance deficiencies than the City,15.1,3.6,No statistical difference in rent change from City,193,63,2.995214115,Larger percent change of population with a bachelor's degree than the City,49.6,15.6,Adjacent to neighborhoods with high Market Pressure scores
West Brighton,BK23,Lower,Lower,Intermediate,Lowest,8.3,33.6,3.8,49,5,No statistical difference from the City in the proportion of severely rent burdened households,31.7,4.7,63.4,3.9,99.6,No statistical difference from the City in the proportion of rent-stabilized households,47.1,11.8,Smaller proportion of units with 3+ maintenance deficiencies than the City,5.9,3.1,No statistical difference in rent change from City,111,131,2.881348945,No statistical difference from the City in the percent change of population with a bachelor's degree,14.3,19.8,Not adjacent to neighborhoods with high Market Pressure scores
